"k"	"p"	"c"	"o"	"f"	"g"	"s"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_vitaeruminis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Gordoniaceae"	"g_Gordonia"	"s_Gordonia_bronchialis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Mycobacteriaceae"	"g_Mycobacterium"	"s_Mycobacterium_abscessus"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Nocardiaceae"	"g_Nocardia"	"s_Nocardia_farcinica"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	NA	NA	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Nocardiaceae"	"g_Rhodococcus"	"s_Rhodococcus_fascians"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Nocardiaceae"	"g_Rhodococcus"	"s_Rhodococcus_pyridinivorans"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Geodermatophilales"	"f_Geodermatophilaceae"	"g_Geodermatophilus"	"s_Geodermatophilus_obscurus"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Geodermatophilales"	"f_Geodermatophilaceae"	NA	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Segniliparaceae"	"g_Segniliparus"	"s_Segniliparus_rugosus"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Geodermatophilales"	"f_Geodermatophilaceae"	"g_Blastococcus"	"s_Blastococcus_saxobsidens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Brevibacteriaceae"	"g_Brevibacterium"	"s_Brevibacterium_linens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Dermacoccaceae"	"g_Dermacoccus"	"s_Dermacoccus_nishinomiyaensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Cellulomonadaceae"	"g_Cellulomonas"	"s_Cellulomonas_massiliensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Brevibacteriaceae"	"g_Brevibacterium"	"s_Brevibacterium_senegalense"
"k_Bacteria"	"p_Bacteroidetes"	NA	NA	NA	NA	NA
